Form,QRS,Left Ventricular High Voltage,LVHV,Left Ventricular High Voltage,,
Form,QRS,Poor R wave Progression,PRWP,Poor R wave Progression,,
Form,QRS,Abnormal R,RAb,r wave abnormal
Form,Axis,Left Axis Deviation,LAD,Left Axis Deviation,,
Form,Axis,Right Axis Deviation,RAD,Right Axis Deviation,,
Form,Axis,Indeterminate Cardiac Axis,ICA,Indeterminate Cardiac Axis,,
Form,Axis,Vertical Axis Deviation,VAD,Vertical Axis Deviation
Form,Axis,Extreme Axis Deviation,EAD,Extreme Axis Deviation,,
Form,Axis,CW or CCW Vectorcardiographic Loop,CCW,CounterClockwise Vectorcardiographic Loop,,
Form,Axis,CR,Clockwise rotation,,
Form,Axis,CCR,CounterClockwise rotation,
Rhythm,Normal,Sinus Rhythm,SR,Healthy,Normal.,Normal,sinus rhythm,SR,NORM,norm.,NSR
Rhythm,Normal,Sinus Arrhythmia,SA,Sinus Arrhythmia,SA,SARRH,Irregular sinus rhythm,
Rhythm,Normal,Sinus Bradycardia,SB,Sinus Bradycardia,SB,bradycardia,SBRAD,bradycardia
Rhythm,Normal,Sinus Tachycardia,ST,Sinus Tachycardia,ST,STACH,tachycardia
Rhythm,Premature & Escape,Atrial tachycardia,AT,Atrial Tachycardia,AT,
Rhythm,Premature & Escape,Atrial rhythm,AR,atrial rhythm,EAR,
Rhythm,Premature & Escape,Atrial escape rhythm,AER,accelerated atrial escape rhythm,,
Rhythm,Premature & Escape,Atrial fibrillation,AFIB,Atrial Fibrillation,AFib,chronic atrial fibrillation
Rhythm,Premature & Escape,Atrial flutter,AFL,AFLT,AFLUT,Aflutter,Atrial Flutter,Aflutter,
Rhythm,Premature & Escape,Atrial fibrillation/flutter,AFIBAFL,AFIB/AFL,Atrial Fibrillation and Flutter,Atrial Fibrillation or Flutter or Nodal
Rhythm,Premature & Escape,Junctional rhythm,JR,Junctional Rhythm,junctional tachycardia
Rhythm,Premature & Escape,Accelerated Junctional rhythm,AJR,accelerated junctional rhythm,,
Rhythm,Premature & Escape,Idioventricular rhythm,IVR,Idioventricular Rhythm,IVR,ventricular escape rhythm
Rhythm,Premature & Escape,Accelerated Idioventricular rhythm,AIVR,accelerated idioventricular rhythm,,
Rhythm,Premature & Escape,Ventricular Tachycardia,VT,Ventricular Tachycardia,VT,
Rhythm,Premature & Escape,Supraventricular Tachycardia,SVT,Supraventricular Tachycardia,SVT,PSVT,SVTAC
Rhythm,Premature & Escape,Supraventricular Arrhythmia,SVA,Supraventricular Arrhythmia,SVARR
Rhythm,Premature & Escape,Atrioventricular Reentrant Tachycardia,AVRT,Atrioventricular Reentrant Tachycardia,,
Rhythm,Premature & Escape,Atrioventricular Nodal Reentrant Tachycardia,AVNRT,Atrioventricular Nodal Reentrant Tachycardia,Atrioventricular Node Reentrant Tachycardia,
Rhythm,Premature & Escape,Wandering atrial pacemaker,WAP,Wandering atrial pacemaker,,
Rhythm,Premature & Escape,Wandering atrial rhythm,WAR,Wandering atrial rhythm,Atrial wandering rhythm,
Rhythm,Premature & Escape,Atrioventricular junctional rhythm,AVJR,Atrioventricular junctional rhythm,,
Rhythm,Premature & Escape,Ventricular Trigeminy,TRI,Ventricular Trigeminy,BIGU,
Rhythm,Premature & Escape,Ventricular bigeminy,BIG,Ventricular Bigeminy,TRIGU,
Rhythm,Premature & Escape,Ventricular couplets,VCoup,Ventricular Couplets,,
Rhythm,Premature & Escape,Ventricular triplets,VTTrip,Ventricular Triplets,,
Rhythm,Premature & Escape,Ventricular fibrillation,VFIB,Ventricular Fibrillation,Vfib,
Rhythm,Premature & Escape,Ventricular flutter,VFLUT,Ventricular Flutter,Vfl,
Rhythm,Premature & Escape,Sick Sinus Syndrome,SSS,Tachy-Brady Syndrome,brady tachy syndrome
Rhythm,Pacing,Pacing Rhythm,PR,Pacing Rhythm,PACE,Pacemaker presence
Rhythm,Pacing,Artificial Atrial Pacing Rhythm,AAPR,Artificial Atrial Pacing Rhythm,Atrial Pacing Rhythm,Atrial Pacing,Unipolar atrial pacing,Bipolar atrial pacing
Rhythm,Pacing,Artificial Ventricular Pacing Rhythm,AVPR,Artificial Ventricular Pacing Rhythm,Ventricular Pacing Rhythm,Ventricular Pacing,Unipolar ventricular pacing,Bipolar ventricular pacing
Hypertrophy,Hypertrophy,Left ventricular hypertrophy,LVH,Left ventricular hypertrophy,,
Hypertrophy,Hypertrophy,Right ventricular hypertrophy,RVH,Right ventricular hypertrophy,,
Hypertrophy,Hypertrophy,Ventricular hypertrophy,VH,Ventricular hypertrophy,,
Hypertrophy,Hypertrophy,Left atrial hypertrophy,LAH,Left atrial hypertrophy,Left atrial enlargement,LAE,LAO/LAE,Left atrial abnormality
Hypertrophy,Hypertrophy,Right atrial hypertrophy,RAH,Right atrial hypertrophy,RAO/RAE,right atrial abnormality
Hypertrophy,Hypertrophy,Atrial enlargement,AH,Atrial hypertrophy,,
